track_id,genre,real_track_id,path,artist,album,title,spotify_track_id,
1,classical,1,/content/classical/1.mp3,Voices of Music,"Bach and Telemann - Sonatas, Preludes and Fantasias",Trio Sonata in C Major BWV 529-2. Largo (JS Bach),3noCucxyyYHVjoZUcgwFne,https://open.spotify.com/track/3noCucxyyYHVjoZUcgwFne
2,classical,2,/content/classical/2.mp3,Musica Franca,Boismortier - Sonatas for Two Bassoons and Continuo,21 - Sonata No. 2 in G major Op. 50 - Largo ,5PyUN8q3mhhLisP5T1FkoS,https://open.spotify.com/track/5PyUN8q3mhhLisP5T1FkoS
3,classical,3,/content/classical/3.mp3,Gonzalo X Ruiz,Imported from Italy,Sonata for Violoncello and Basso Continuo in Bb: Allegro - RV 43 (Vivaldi),1Is9g3H5cE1WkrCYRARQr0,https://open.spotify.com/track/1Is9g3H5cE1WkrCYRARQr0
4,classical,4,/content/classical/4.mp3,Ivan Ilic,"Elegance and Refinement - Baroque Suites, French Sweets",Handel- Suite in Fa Major (Adagio),0GxOPfVpmkKNoem5rKurNc,https://open.spotify.com/track/0GxOPfVpmkKNoem5rKurNc
5,classical,5,/content/classical/5.mp3,Ivan Ilic,Romantic - Powerful Miniatures by Schumann and Brahms,Intermezzo in B flat Minor Opus 117 No.2 (Johannes Brahms),2hmC0upWZmAkg9ZwSDHD7Q,https://open.spotify.com/track/2hmC0upWZmAkg9ZwSDHD7Q
6,classical,6,/content/classical/6.mp3,Daniel Ben Pienaar,JS Bach - Book 1 CD2 Well-Tempered Clavier,Prelude and Fugue No 13 in F-sharp major,4aYA8f11fOfA375RZdNfCW,https://open.spotify.com/track/4aYA8f11fOfA375RZdNfCW
7,classical,7,/content/classical/7.mp3,Voices of Music,"Bach and Telemann - Sonatas, Preludes and Fantasias",Trio Sonata in D minor-1 Allegro (Telemann),15biOfRTqZrfLxe6P1ddoh,https://open.spotify.com/track/15biOfRTqZrfLxe6P1ddoh
8,classical,8,/content/classical/8.mp3,Edward Martin,Allemande,Suite in C Major-1 Prelude-Johann Gottfried Conradi,3alsYfAMWcYaBOhoxzp5Re,https://open.spotify.com/track/3alsYfAMWcYaBOhoxzp5Re
9,classical,9,/content/classical/9.mp3,Magnatune Compilation,Romantic Dinner Classical Compilation,Sonnerie - from Handel Trio Sonatas,3bhUaQfHR9l98boGu6Q24a,https://open.spotify.com/track/3bhUaQfHR9l98boGu6Q24a
10,classical,10,/content/classical/10.mp3,Cary Chow,Zirkus - Step Inside - Piano Music of Robert Schumann,Carnaval Opus 9 - Preambule,2Z4XKdoR9IkDSfbmYMc1AN,https://open.spotify.com/track/2Z4XKdoR9IkDSfbmYMc1AN
11,classical,11,/content/classical/11.mp3,SCD,Biber Violin Sonatas,"Biber: Sonata 6 in C Minor (from 8 Sonatas, 1681)",0K8yQhQqosSxnqUzgw7QGY,https://open.spotify.com/track/0K8yQhQqosSxnqUzgw7QGY
12,classical,12,/content/classical/12.mp3,Voices of Music,"Bach and Telemann - Sonatas, Preludes and Fantasias",Trio Sonata in D minor-3. Allegro (Telemann),04cjhGLhlf3NKBGEPl1fEk,https://open.spotify.com/track/04cjhGLhlf3NKBGEPl1fEk
13,classical,13,/content/classical/13.mp3,Ivan Ilic,Fugitive Visions - Piano Masterworks by Chopin and Liszt,Chopin Prelude In E Major Opus 28,1WcJcEqsyUEeCKhVfj7ZCX,https://open.spotify.com/track/1WcJcEqsyUEeCKhVfj7ZCX
14,classical,14,/content/classical/14.mp3,Ingrid Matthews and Byron Schenkman,CD1-JS Bach-Six Sonatas for Violin and Harpsichord,Sonata No. 2 BWV 1015 - 1. Dolce (J.S. Bach),1YW5gCS7I30eFDSqQClLkL,https://open.spotify.com/track/1YW5gCS7I30eFDSqQClLkL
15,classical,15,/content/classical/15.mp3,Ingrid Matthews and Byron Schenkman,CD2-JS Bach-Six Sonatas for Violin and Harpsichord,Sonata No. 4 BWV 1017 - 1. Largo (J.S. Bach),6Ggxftkv6OQiqWlueijfAt,https://open.spotify.com/track/6Ggxftkv6OQiqWlueijfAt
16,classical,16,/content/classical/16.mp3,Ivan Ilic,Fugitive Visions - Piano Masterworks by Chopin and Liszt,Chopin Prelude In G Minor Opus 28,30M2CvrI43F81Agt6L68pd,https://open.spotify.com/track/30M2CvrI43F81Agt6L68pd
17,classical,17,/content/classical/17.mp3,Ivan Ilic,Romantic - Powerful Miniatures by Schumann and Brahms,Intermezzo in E Major Opus 116 No.4 (Johannes Brahms),3ECEXIrTvYxZks4Bwi2dzX,https://open.spotify.com/track/3ECEXIrTvYxZks4Bwi2dzX
18,classical,18,/content/classical/18.mp3,Musica Franca,Boismortier - Sonatas for Two Bassoons and Continuo,22 - Sonata No. 2 in G major Op. 50 - Allemanda (allegro) ,6AbJYp4BOAxSvTHWThxAXX,https://open.spotify.com/track/6AbJYp4BOAxSvTHWThxAXX
19,classical,19,/content/classical/19.mp3,Ralph Rousseau Meulenbroeks,Back with Bach,Sonata BWV 1027 in G major: adagio,2FJqhCF3b1Jrx9LVmmIwKC,https://open.spotify.com/track/2FJqhCF3b1Jrx9LVmmIwKC
20,classical,20,/content/classical/20.mp3,Oberlin Consort of Viols,5 and 6 part Fantasies of William Lawes,Set a 5 in C Minor,3tJd0S5eBfoNtZe2xbWA2K,https://open.spotify.com/track/3tJd0S5eBfoNtZe2xbWA2K
21,classical,21,/content/classical/21.mp3,Gonzalo X Ruiz,Imported from Italy,Sonata for Oboe and Bassoc Continuo in G major: Andante (Sammartini),,https://open.spotify.com/track/
22,classical,22,/content/classical/22.mp3,Altri Stromenti,Uccellini,Confitebor (Monteverdi),0cfGs4N60UTK8YJmy4mx0m,https://open.spotify.com/track/0cfGs4N60UTK8YJmy4mx0m
23,classical,23,/content/classical/23.mp3,American Bach Soloists,JS Bach Cantatas VI - Favorite Cantatas,Wachet auf ruft uns die Stimme (BWV 140) - Chorus,3cS5Fa7MUtOLIscTD2JCJd,https://open.spotify.com/track/3cS5Fa7MUtOLIscTD2JCJd
24,classical,24,/content/classical/24.mp3,Bezdin Ensemble,Boccherini Fandango Box,Fandango (Luigi Boccherini),5b1vdxJqoVCmdfdg0tRg2M,https://open.spotify.com/track/5b1vdxJqoVCmdfdg0tRg2M
25,classical,25,/content/classical/25.mp3,SCD,Biber Violin Sonatas,"Froberger: Toccata III in C Major, 1656",53bqTstpTJoH7ATnybwJVk,https://open.spotify.com/track/53bqTstpTJoH7ATnybwJVk
26,classical,26,/content/classical/26.mp3,American Bach Soloists,JS Bach - Transcriptions of Italian Music,Concerto in A Minor for Four Harpsichords BWV 1065: I Allegro,4lIVZ3B6Kn3BpiCht4FuGh,https://open.spotify.com/track/4lIVZ3B6Kn3BpiCht4FuGh
27,classical,27,/content/classical/27.mp3,American Bach Soloists,Joseph Haydn - Masses,Kyrie - Allegro moderato,5qHXDzFau4YsHs8uplrbsI,https://open.spotify.com/track/5qHXDzFau4YsHs8uplrbsI
28,classical,28,/content/classical/28.mp3,American Baroque,Mozart 4 Quartets for Strings and Winds,Oboe Quartet in F (K370) - Allegro,0MT74goLdNtbBbor5myikR,https://open.spotify.com/track/0MT74goLdNtbBbor5myikR
29,classical,29,/content/classical/29.mp3,Altri Stromenti,Italian Music of the 17th Century,La Savorgnana (Giovanni Legrenzi),5sTiGK6oljvejJIVkeGvm4,https://open.spotify.com/track/5sTiGK6oljvejJIVkeGvm4
30,classical,30,/content/classical/30.mp3,Bezdin Ensemble,Vivaldi Sacred Box,Gloria (Antonio Vivaldi),5Gl66c872rP9JWrJTetGD4,https://open.spotify.com/track/5Gl66c872rP9JWrJTetGD4
31,classical,31,/content/classical/31.mp3,Briddes Roune,Lenten is come,Lenten is come,1Eh3Jw3vLepRReEhbBPUqU,https://open.spotify.com/track/1Eh3Jw3vLepRReEhbBPUqU
32,classical,32,/content/classical/32.mp3,Altri Stromenti,Italian Music of the 17th Century,Sonata Prima Detta La Poggia (Marco Uccellini),40q1FR5hnTGTdCzIP4Mzd3,https://open.spotify.com/track/40q1FR5hnTGTdCzIP4Mzd3
33,classical,33,/content/classical/33.mp3,Ivan Ilic,"Elegance and Refinement - Baroque Suites, French Sweets",JS Bach: Partita in C minor (Sarabande),342zoYfaXJUsn3YrPND0at,https://open.spotify.com/track/342zoYfaXJUsn3YrPND0at
34,classical,34,/content/classical/34.mp3,Doc Rossi,Demarzi-6 Sonatas for Cetra o Kitara,Sonata I Sostenuto,16ZNTJAAC45yC2SCTkshVZ,https://open.spotify.com/track/16ZNTJAAC45yC2SCTkshVZ
35,classical,35,/content/classical/35.mp3,Duo Chambure,Vihuela Duets of Valderrabano,Andreas Christi Sancte Andrea (Cristobal de Morales),6bzAzrOg2Mnik9qa0KiaXH,https://open.spotify.com/track/6bzAzrOg2Mnik9qa0KiaXH
36,classical,36,/content/classical/36.mp3,Edward Martin and Paul Berget,Baroque Lute Duets,Sonata In C Major (Weiss) - Andante,3BQFGCKyRr5OCLDainTXV5,https://open.spotify.com/track/3BQFGCKyRr5OCLDainTXV5
37,classical,37,/content/classical/37.mp3,Edward Martin and William Bastian,Virtues and Vices,Come again: sweet love doth now invite (John Dowland),05FFIgykhFtuVoYxy5iSMc,https://open.spotify.com/track/05FFIgykhFtuVoYxy5iSMc
38,classical,38,/content/classical/38.mp3,Edward Martin,Art of the Lute in Renaissance France,Prelude (Phalese),0d6SBWwgSnS1uGLSHZILzQ,https://open.spotify.com/track/0d6SBWwgSnS1uGLSHZILzQ
39,classical,39,/content/classical/39.mp3,Bezdin Ensemble,Boccherini Fandango Box,Sinfonia in La Maggiore (Luigi Boccherini),1MCtbtBHwKBxS56B8EmvUW,https://open.spotify.com/track/1MCtbtBHwKBxS56B8EmvUW
40,classical,40,/content/classical/40.mp3,Bezdin Ensemble,Si Fossi Foco,If I were wind I would tempest you,3DBjy35Qk2nFQ5fdBdreiN,https://open.spotify.com/track/3DBjy35Qk2nFQ5fdBdreiN
41,classical,41,/content/classical/41.mp3,Ensemble Mirable,Conversations Galantes,Sonata III in d minor (Allegro:Moderato),1TnJhPjtKPMGHCh1zZtyss,https://open.spotify.com/track/1TnJhPjtKPMGHCh1zZtyss
42,classical,42,/content/classical/42.mp3,Ensemble Mirable,Triemer Six Cello Sonatas,Sonata 1 (Largo),5Fv1v10QCskvJAk1vGID9X,https://open.spotify.com/track/5Fv1v10QCskvJAk1vGID9X
43,classical,43,/content/classical/43.mp3,Ensemble Vermillian,Stolen Jewels,Rosenmuller Sonata Teraz a 2 Allegro,1RScV1DNccMvkyy0wHFrzX,https://open.spotify.com/track/1RScV1DNccMvkyy0wHFrzX
44,classical,44,/content/classical/44.mp3,Altri Stromenti,Italian Music of the 17th Century,Ballo Del Gran Ducca (Giovanni Battista Buonamente),4kG6LyEa5ffkjbg1BAr489,https://open.spotify.com/track/4kG6LyEa5ffkjbg1BAr489
45,classical,45,/content/classical/45.mp3,Gerard Satamian,Dry Fig Trees,Chansons sans paroles (1989) op. 2 Pastorale,1gqOg3La1P3q0X3FMsHcZE,https://open.spotify.com/track/1gqOg3La1P3q0X3FMsHcZE
46,classical,46,/content/classical/46.mp3,Gonzalo X Ruiz,JS Bach - Transcriptions for Oboe,Sonata in C major for oboe and basso continuo after BWV 1035 (adagio ma non tanto),478yZ3EhghZ904UI5cWvzz,https://open.spotify.com/track/478yZ3EhghZ904UI5cWvzz
47,classical,47,/content/classical/47.mp3,Gonzalo X Ruiz,Schumann Romances,Drei Romanzen Op. 94 (Nicht schnell),2EXWMX2c4TWjYERxCVbMn0,https://open.spotify.com/track/2EXWMX2c4TWjYERxCVbMn0
48,classical,48,/content/classical/48.mp3,Hanneke van Proosdij,Harpsichord suites of Chambonnieres,Suite in d minor - Allemande la Loureuse,7IRVyRWNANnrS7a34Co8Gu,https://open.spotify.com/track/7IRVyRWNANnrS7a34Co8Gu
49,classical,49,/content/classical/49.mp3,Bezdin Ensemble,Vivaldi Sacred Box,Stabat Mater (Antonio Vivaldi),1zMuOy2UkliKAVZMtGB2ac,https://open.spotify.com/track/1zMuOy2UkliKAVZMtGB2ac
50,classical,50,/content/classical/50.mp3,Bezdin Ensemble,Si Fossi Foco,If I were fire,2Qvv9ZPVsvglmOdg9E0xDd,https://open.spotify.com/track/2Qvv9ZPVsvglmOdg9E0xDd
51,classical,51,/content/classical/51.mp3,Jacob Heringman,Josquin des Prez Lute Settings,Anon : Praeter rerum seriem,5B02PJiyIStKXSbFHcbM3V,https://open.spotify.com/track/5B02PJiyIStKXSbFHcbM3V
52,classical,52,/content/classical/52.mp3,Bezdin Ensemble,Boccherini Fandango Box,La Ritirata Di Madrid (Luigi Boccherini),3fecSKGPdidrgxxnXK90MK,https://open.spotify.com/track/3fecSKGPdidrgxxnXK90MK
53,classical,53,/content/classical/53.mp3,Bezdin Ensemble,Si Fossi Foco,If I were pope,7o1TVJEGSS00SySGDPuE52,https://open.spotify.com/track/7o1TVJEGSS00SySGDPuE52
54,classical,54,/content/classical/54.mp3,Musica Franca,Corrette - Le Phenix - Les Delices de la Solitude,Phenix - Allegro,0ru7ppZyya7NVqnpNFBF3u,https://open.spotify.com/track/0ru7ppZyya7NVqnpNFBF3u
55,classical,55,/content/classical/55.mp3,Altri Stromenti,Italian Music of the 17th Century,Avanti Il Quarto Brando (Giovanni Battista Buonamente),5zCFefmkIAQS0mrTGv1TFE,https://open.spotify.com/track/5zCFefmkIAQS0mrTGv1TFE
56,classical,56,/content/classical/56.mp3,Musica Franca,Corrette - Le Phenix - Les Delices de la Solitude,Les Delices de la Solitude Op. 20 - Sonata I in F major - Aria,1lcVtQke76cGIzgTnzFdpl,https://open.spotify.com/track/1lcVtQke76cGIzgTnzFdpl
57,classical,57,/content/classical/57.mp3,Bezdin Ensemble,Vivaldi Sacred Box,Magnificat (Antonio Vivaldi),4BrqvRI17dsHRmj6IpV1GM,https://open.spotify.com/track/4BrqvRI17dsHRmj6IpV1GM
58,classical,58,/content/classical/58.mp3,Bezdin Ensemble,Si Fossi Foco,If I were emperor,3ecSXt5Y3LOLCToRB4i63p,https://open.spotify.com/track/3ecSXt5Y3LOLCToRB4i63p
59,classical,59,/content/classical/59.mp3,Bezdin Ensemble,Boccherini Fandango Box,Sinfonia In Re Minore (Luigi Boccherini),4pqh9rZuRVVHruSetDHLE3,https://open.spotify.com/track/4pqh9rZuRVVHruSetDHLE3
60,classical,60,/content/classical/60.mp3,Ivan Ilic,Fugitive Visions - Piano Masterworks by Chopin and Liszt,Chopin Prelude In B Minor Opus 28,27dNq6LLwOrP91v2i2FO0D,https://open.spotify.com/track/27dNq6LLwOrP91v2i2FO0D
61,classical,61,/content/classical/61.mp3,Musica Franca,Corrette - Le Phenix - Les Delices de la Solitude,Sonata II in D minor - Allegro,2iHH1qVZPw1J1Lf1mifRSt,https://open.spotify.com/track/2iHH1qVZPw1J1Lf1mifRSt
62,classical,62,/content/classical/62.mp3,Janine Johnson,Chopin Recital,Waltz KK IVa no.12 in E major,1f3MVDwSNuqBtMxloyLvvD,https://open.spotify.com/track/1f3MVDwSNuqBtMxloyLvvD
63,classical,63,/content/classical/63.mp3,Ivan Ilic,Romantic - Powerful Miniatures by Schumann and Brahms,Intermezzo in E Major Opus 116 No.6 (Johannes Brahms),1Sa03TevW8uKcVieD3LHJ0,https://open.spotify.com/track/1Sa03TevW8uKcVieD3LHJ0
64,classical,64,/content/classical/64.mp3,Musica Franca,Corrette - Le Phenix - Les Delices de la Solitude,Sonata III in C major - Fuga da capella,5tY3Nzjutp05g2OleVbthn,https://open.spotify.com/track/5tY3Nzjutp05g2OleVbthn
65,classical,65,/content/classical/65.mp3,Janine Johnson,Telemann Harpsichord Solos from Der Getreue Music Meister,Trouble fete (Gorner),3NpNbK1v8O6uU0dQMJgkuz,https://open.spotify.com/track/3NpNbK1v8O6uU0dQMJgkuz
66,classical,66,/content/classical/66.mp3,Ivan Ilic,Fugitive Visions - Piano Masterworks by Chopin and Liszt,Chopin Prelude In C Sharp Minor Opus 28,7KJio7FwXuLrqvmmG1y4Rj,https://open.spotify.com/track/7KJio7FwXuLrqvmmG1y4Rj
67,classical,67,/content/classical/67.mp3,Altri Stromenti,Italian Music of the 17th Century,Gagliard Seconda (Giovanni Battista Buonamente),376Ex3IlFOpcXelKREEFH7,https://open.spotify.com/track/376Ex3IlFOpcXelKREEFH7
68,classical,68,/content/classical/68.mp3,John Fleagle,Worlds Bliss - Medieval Songs of Love and Death,Alysoun,6ozOXbh1k3XBIHL9kzCAxf,https://open.spotify.com/track/6ozOXbh1k3XBIHL9kzCAxf
69,classical,69,/content/classical/69.mp3,JungHae Kim,The Virginalists,More Palatino (Jan Pieterszoon Sweelinck),0vHQEJFE8EEfGtwuaQsCE8,https://open.spotify.com/track/0vHQEJFE8EEfGtwuaQsCE8
70,classical,70,/content/classical/70.mp3,Katherine Roberts Perl,JS Bach French Suites,Suite No 4 in E flat major BWV 815: Allemande,7p8SPhxmUJbWZQ37WJBl15,https://open.spotify.com/track/7p8SPhxmUJbWZQ37WJBl15
71,classical,71,/content/classical/71.mp3,La Primavera,English Renaissance Music,Oxenford (Anon),1eiI9Vgpr7reo0tRULPRpV,https://open.spotify.com/track/1eiI9Vgpr7reo0tRULPRpV
72,classical,72,/content/classical/72.mp3,Lara St John,Bach Violin Concertos,BWV 1041 : I. Allegro,1ubTqi3QUWWTR82ltF8ZG0,https://open.spotify.com/track/1ubTqi3QUWWTR82ltF8ZG0
73,classical,73,/content/classical/73.mp3,Ivan Ilic,Fugitive Visions - Piano Masterworks by Chopin and Liszt,Chopin Prelude In C Major Opus 28,1WcJcEqsyUEeCKhVfj7ZCX,https://open.spotify.com/track/1WcJcEqsyUEeCKhVfj7ZCX
74,classical,74,/content/classical/74.mp3,Lara St John,Bach Violin Concertos,BWV 1001 / IV. Presto,1E9BEYNXGE25B4HRNbe38a,https://open.spotify.com/track/1E9BEYNXGE25B4HRNbe38a
75,classical,75,/content/classical/75.mp3,Ivan Ilic,Romantic - Powerful Miniatures by Schumann and Brahms,Romance in B Major Opus 28 No.3 (Robert Schumann),2p07d16xdpMvjTfYJaMho9,https://open.spotify.com/track/2p07d16xdpMvjTfYJaMho9
76,classical,76,/content/classical/76.mp3,Maryse Carlin,Rameau - Pieces De Clavecin En Concerts - Forqueray Suites 4 and 5,Premier Concert - Coulicam (Rameau),1pjeeQKWoQxXewmBVpHtub,https://open.spotify.com/track/1pjeeQKWoQxXewmBVpHtub
77,classical,77,/content/classical/77.mp3,Ivan Ilic,Fugitive Visions - Piano Masterworks by Chopin and Liszt,Chopin Prelude In A Flat Major Opus 28,78LNt4v31eS7gqs3S4O8WZ,https://open.spotify.com/track/78LNt4v31eS7gqs3S4O8WZ
78,classical,78,/content/classical/78.mp3,Music of the Spheres,Music of the Spheres,Matteis: Ground After the Scotch Humour,70LgM1ANLX30VmZDRYCmFD,https://open.spotify.com/track/70LgM1ANLX30VmZDRYCmFD
79,classical,79,/content/classical/79.mp3,Musica Franca,Boismortier - Sonatas for Two Bassoons and Continuo,Sonata No. 1 in E minor Op. 50 - Andante ,5wIdceHrFREUDPGWLYfOSy,https://open.spotify.com/track/5wIdceHrFREUDPGWLYfOSy
80,classical,80,/content/classical/80.mp3,Musica Franca,Corrette - Le Phenix - Les Delices de la Solitude,Phenix - Allegro,0ru7ppZyya7NVqnpNFBF3u,https://open.spotify.com/track/0ru7ppZyya7NVqnpNFBF3u
