track_id,genre,real_track_id,path,artist,album,title,spotify_track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,classical,1,/content/classical/1.mp3,Voices of Music,"Bach and Telemann - Sonatas, Preludes and Fantasias",Trio Sonata in C Major BWV 529-2. Largo (JS Bach),3noCucxyyYHVjoZUcgwFne,0.23,0.0267,1,-23.433,0,0.0511,0.956,0.065,0.103,0.325,72.77
2,classical,2,/content/classical/2.mp3,Musica Franca,Boismortier - Sonatas for Two Bassoons and Continuo,21 - Sonata No. 2 in G major Op. 50 - Largo ,5PyUN8q3mhhLisP5T1FkoS,0.198,0.0323,2,-26.693,1,0.0398,0.995,0.926,0.118,0.193,108.252
3,classical,3,/content/classical/3.mp3,Gonzalo X Ruiz,Imported from Italy,Sonata for Violoncello and Basso Continuo in Bb: Allegro - RV 43 (Vivaldi),1Is9g3H5cE1WkrCYRARQr0,0.416,0.109,8,-23.2,0,0.0496,0.965,0.915,0.115,0.686,112.666
4,classical,4,/content/classical/4.mp3,Ivan Ilic,"Elegance and Refinement - Baroque Suites, French Sweets",Handel- Suite in Fa Major (Adagio),0GxOPfVpmkKNoem5rKurNc,0.343,0.0063,5,-37.414,1,0.0436,0.995,0.967,0.0681,0.221,96.564
5,classical,5,/content/classical/5.mp3,Ivan Ilic,Romantic - Powerful Miniatures by Schumann and Brahms,Intermezzo in B flat Minor Opus 117 No.2 (Johannes Brahms),2hmC0upWZmAkg9ZwSDHD7Q,0.226,0.0293,1,-30.236,1,0.0448,0.994,0.892,0.107,0.0385,87.933
6,classical,6,/content/classical/6.mp3,Daniel Ben Pienaar,JS Bach - Book 1 CD2 Well-Tempered Clavier,Prelude and Fugue No 13 in F-sharp major,4aYA8f11fOfA375RZdNfCW,0.47,0.163,6,-24.899,1,0.0385,0.995,0.865,0.131,0.927,95.759
7,classical,7,/content/classical/7.mp3,Voices of Music,"Bach and Telemann - Sonatas, Preludes and Fantasias",Trio Sonata in D minor-1 Allegro (Telemann),15biOfRTqZrfLxe6P1ddoh,0.519,0.116,1,-22.742,0,0.0477,0.974,0.433,0.312,0.428,116.533
8,classical,8,/content/classical/8.mp3,Edward Martin,Allemande,Suite in C Major-1 Prelude-Johann Gottfried Conradi,3alsYfAMWcYaBOhoxzp5Re,0.407,0.0982,11,-24.18,1,0.0724,0.98,0.914,0.109,0.464,138.125
9,classical,9,/content/classical/9.mp3,Magnatune Compilation,Romantic Dinner Classical Compilation,Sonnerie - from Handel Trio Sonatas,3bhUaQfHR9l98boGu6Q24a,0.239,0.0867,10,-21.704,0,0.0398,0.881,0.000105,0.161,0.184,92.414
10,classical,10,/content/classical/10.mp3,Cary Chow,Zirkus - Step Inside - Piano Music of Robert Schumann,Carnaval Opus 9 - Preambule,2Z4XKdoR9IkDSfbmYMc1AN,0.432,0.31,8,-15.067,1,0.0433,0.983,0.878,0.0978,0.187,115.44
11,classical,11,/content/classical/11.mp3,SCD,Biber Violin Sonatas,"Biber: Sonata 6 in C Minor (from 8 Sonatas, 1681)",0K8yQhQqosSxnqUzgw7QGY,0.283,0.141,11,-17.676,0,0.0413,0.899,0.000317,0.122,0.227,83.461
12,classical,12,/content/classical/12.mp3,Voices of Music,"Bach and Telemann - Sonatas, Preludes and Fantasias",Trio Sonata in D minor-3. Allegro (Telemann),04cjhGLhlf3NKBGEPl1fEk,0.563,0.0609,1,-23.07,0,0.0426,0.981,0.107,0.118,0.436,94.522
13,classical,13,/content/classical/13.mp3,Ivan Ilic,Fugitive Visions - Piano Masterworks by Chopin and Liszt,Chopin Prelude In E Major Opus 28,1WcJcEqsyUEeCKhVfj7ZCX,0.469,0.0134,4,-26.023,1,0.0502,0.995,0.916,0.102,0.0357,122.441
14,classical,14,/content/classical/14.mp3,Ingrid Matthews and Byron Schenkman,CD1-JS Bach-Six Sonatas for Violin and Harpsichord,Sonata No. 2 BWV 1015 - 1. Dolce (J.S. Bach),1YW5gCS7I30eFDSqQClLkL,0.103,0.0466,8,-22.719,1,0.0434,0.886,0.00197,0.0846,0.148,77.854
15,classical,15,/content/classical/15.mp3,Ingrid Matthews and Byron Schenkman,CD2-JS Bach-Six Sonatas for Violin and Harpsichord,Sonata No. 4 BWV 1017 - 1. Largo (J.S. Bach),6Ggxftkv6OQiqWlueijfAt,0.141,0.101,11,-20.026,0,0.0395,0.861,0.00489,0.111,0.171,75.846
16,classical,16,/content/classical/16.mp3,Ivan Ilic,Fugitive Visions - Piano Masterworks by Chopin and Liszt,Chopin Prelude In G Minor Opus 28,30M2CvrI43F81Agt6L68pd,0.364,0.261,5,-20.162,0,0.0295,0.994,0.897,0.114,0.661,63.189
17,classical,17,/content/classical/17.mp3,Ivan Ilic,Romantic - Powerful Miniatures by Schumann and Brahms,Intermezzo in E Major Opus 116 No.4 (Johannes Brahms),3ECEXIrTvYxZks4Bwi2dzX,0.337,0.00937,4,-33.585,1,0.0585,0.995,0.892,0.104,0.118,71.412
18,classical,18,/content/classical/18.mp3,Musica Franca,Boismortier - Sonatas for Two Bassoons and Continuo,22 - Sonata No. 2 in G major Op. 50 - Allemanda (allegro) ,6AbJYp4BOAxSvTHWThxAXX,0.549,0.157,7,-27.819,1,0.0378,0.996,0.928,0.162,0.84,100.312
19,classical,19,/content/classical/19.mp3,Ralph Rousseau Meulenbroeks,Back with Bach,Sonata BWV 1027 in G major: adagio,2FJqhCF3b1Jrx9LVmmIwKC,0.243,0.0733,6,-26.57,1,0.0353,0.844,0.105,0.11,0.19,87.106
20,classical,20,/content/classical/20.mp3,Oberlin Consort of Viols,5 and 6 part Fantasies of William Lawes,Set a 5 in C Minor,3tJd0S5eBfoNtZe2xbWA2K,0.102,0.0261,11,-28.194,0,0.0525,0.935,0.82,0.15,0.106,77.81
22,classical,22,/content/classical/22.mp3,Altri Stromenti,Uccellini,Confitebor (Monteverdi),0cfGs4N60UTK8YJmy4mx0m,0.321,0.04,0,-24.367,1,0.0515,0.985,0.000166,0.0531,0.207,108.865
23,classical,23,/content/classical/23.mp3,American Bach Soloists,JS Bach Cantatas VI - Favorite Cantatas,Wachet auf ruft uns die Stimme (BWV 140) - Chorus,3cS5Fa7MUtOLIscTD2JCJd,0.424,0.218,2,-20.792,1,0.0365,0.968,0.0898,0.166,0.395,102.738
24,classical,24,/content/classical/24.mp3,Bezdin Ensemble,Boccherini Fandango Box,Fandango (Luigi Boccherini),5b1vdxJqoVCmdfdg0tRg2M,0.368,0.331,11,-15.444,1,0.0364,0.896,0.276,0.0866,0.128,106.618
25,classical,25,/content/classical/25.mp3,SCD,Biber Violin Sonatas,"Froberger: Toccata III in C Major, 1656",53bqTstpTJoH7ATnybwJVk,0.295,0.148,11,-25.228,1,0.047,0.835,0.0133,0.143,0.704,125.686
26,classical,26,/content/classical/26.mp3,American Bach Soloists,JS Bach - Transcriptions of Italian Music,Concerto in A Minor for Four Harpsichords BWV 1065: I Allegro,4lIVZ3B6Kn3BpiCht4FuGh,0.376,0.361,8,-19.909,0,0.0297,0.799,0,0.108,0.822,107.787
27,classical,27,/content/classical/27.mp3,American Bach Soloists,Joseph Haydn - Masses,Kyrie - Allegro moderato,5qHXDzFau4YsHs8uplrbsI,0.35,0.183,2,-17.413,0,0.0334,0.966,0.454,0.163,0.112,104.921
28,classical,28,/content/classical/28.mp3,American Baroque,Mozart 4 Quartets for Strings and Winds,Oboe Quartet in F (K370) - Allegro,0MT74goLdNtbBbor5myikR,0.391,0.0929,9,-20.825,0,0.0423,0.965,0.558,0.342,0.333,131.746
29,classical,29,/content/classical/29.mp3,Altri Stromenti,Italian Music of the 17th Century,La Savorgnana (Giovanni Legrenzi),5sTiGK6oljvejJIVkeGvm4,0.29,0.115,2,-16.963,0,0.0383,0.925,0.049,0.14,0.151,123.855
30,classical,30,/content/classical/30.mp3,Bezdin Ensemble,Vivaldi Sacred Box,Gloria (Antonio Vivaldi),5Gl66c872rP9JWrJTetGD4,0.274,0.163,2,-19.297,1,0.0415,0.955,0.00796,0.141,0.0882,128.04
31,classical,31,/content/classical/31.mp3,Briddes Roune,Lenten is come,Lenten is come,1Eh3Jw3vLepRReEhbBPUqU,0.492,0.0205,7,-16.258,0,0.0434,0.992,0.00133,0.109,0.437,132.478
32,classical,32,/content/classical/32.mp3,Altri Stromenti,Italian Music of the 17th Century,Sonata Prima Detta La Poggia (Marco Uccellini),40q1FR5hnTGTdCzIP4Mzd3,0.285,0.0775,9,-20.364,0,0.0417,0.913,0.000786,0.0968,0.162,103.794
33,classical,33,/content/classical/33.mp3,Ivan Ilic,"Elegance and Refinement - Baroque Suites, French Sweets",JS Bach: Partita in C minor (Sarabande),342zoYfaXJUsn3YrPND0at,0.306,0.0673,0,-31.896,0,0.0548,0.995,0.884,0.11,0.397,180.848
34,classical,34,/content/classical/34.mp3,Doc Rossi,Demarzi-6 Sonatas for Cetra o Kitara,Sonata I Sostenuto,16ZNTJAAC45yC2SCTkshVZ,0.615,0.103,11,-24.73,1,0.0539,0.992,0.934,0.0961,0.584,139.075
35,classical,35,/content/classical/35.mp3,Duo Chambure,Vihuela Duets of Valderrabano,Andreas Christi Sancte Andrea (Cristobal de Morales),6bzAzrOg2Mnik9qa0KiaXH,0.651,0.101,8,-19.241,1,0.051,0.978,0.871,0.108,0.455,96.355
36,classical,36,/content/classical/36.mp3,Edward Martin and Paul Berget,Baroque Lute Duets,Sonata In C Major (Weiss) - Andante,3BQFGCKyRr5OCLDainTXV5,0.579,0.0793,11,-24.799,1,0.0391,0.907,0.404,0.109,0.302,86.253
37,classical,37,/content/classical/37.mp3,Edward Martin and William Bastian,Virtues and Vices,Come again: sweet love doth now invite (John Dowland),05FFIgykhFtuVoYxy5iSMc,0.344,0.0958,7,-22.703,1,0.0464,0.954,2.60E-05,0.127,0.302,137.079
38,classical,38,/content/classical/38.mp3,Edward Martin,Art of the Lute in Renaissance France,Prelude (Phalese),0d6SBWwgSnS1uGLSHZILzQ,0.553,0.0828,7,-23.288,0,0.0495,0.959,0.85,0.0809,0.454,98.119
39,classical,39,/content/classical/39.mp3,Bezdin Ensemble,Boccherini Fandango Box,Sinfonia in La Maggiore (Luigi Boccherini),1MCtbtBHwKBxS56B8EmvUW,0.397,0.231,9,-16.625,1,0.0444,0.957,0.714,0.109,0.158,122.183
40,classical,40,/content/classical/40.mp3,Bezdin Ensemble,Si Fossi Foco,If I were wind I would tempest you,3DBjy35Qk2nFQ5fdBdreiN,0.289,0.339,1,-10.48,0,0.0386,0.894,0.49,0.209,0.257,78.177
41,classical,41,/content/classical/41.mp3,Ensemble Mirable,Conversations Galantes,Sonata III in d minor (Allegro:Moderato),1TnJhPjtKPMGHCh1zZtyss,0.446,0.18,6,-16.552,0,0.0362,0.951,0.000288,0.0876,0.379,76.253
42,classical,42,/content/classical/42.mp3,Ensemble Mirable,Triemer Six Cello Sonatas,Sonata 1 (Largo),5Fv1v10QCskvJAk1vGID9X,0.164,0.0409,6,-22.926,1,0.0413,0.915,3.83E-06,0.118,0.276,168.152
43,classical,43,/content/classical/43.mp3,Ensemble Vermillian,Stolen Jewels,Rosenmuller Sonata Teraz a 2 Allegro,1RScV1DNccMvkyy0wHFrzX,0.349,0.205,1,-17.608,0,0.0455,0.874,0.921,0.146,0.448,115.646
44,classical,44,/content/classical/44.mp3,Altri Stromenti,Italian Music of the 17th Century,Ballo Del Gran Ducca (Giovanni Battista Buonamente),4kG6LyEa5ffkjbg1BAr489,0.278,0.201,0,-17.16,1,0.0394,0.899,0.000271,0.0753,0.418,137.324
45,classical,45,/content/classical/45.mp3,Gerard Satamian,Dry Fig Trees,Chansons sans paroles (1989) op. 2 Pastorale,1gqOg3La1P3q0X3FMsHcZE,0.218,0.0274,11,-23.213,0,0.0367,0.992,0.719,0.0887,0.0721,172.516
46,classical,46,/content/classical/46.mp3,Gonzalo X Ruiz,JS Bach - Transcriptions for Oboe,Sonata in C major for oboe and basso continuo after BWV 1035 (adagio ma non tanto),478yZ3EhghZ904UI5cWvzz,0.193,0.0772,6,-21.493,1,0.0447,0.97,0.925,0.339,0.217,82.953
47,classical,47,/content/classical/47.mp3,Gonzalo X Ruiz,Schumann Romances,Drei Romanzen Op. 94 (Nicht schnell),2EXWMX2c4TWjYERxCVbMn0,0.234,0.0397,9,-27.387,0,0.0332,0.99,0.928,0.109,0.131,143.752
48,classical,48,/content/classical/48.mp3,Hanneke van Proosdij,Harpsichord suites of Chambonnieres,Suite in d minor - Allemande la Loureuse,7IRVyRWNANnrS7a34Co8Gu,0.31,0.134,0,-28.311,1,0.0376,0.809,0.00495,0.135,0.351,105.326
49,classical,49,/content/classical/49.mp3,Bezdin Ensemble,Vivaldi Sacred Box,Stabat Mater (Antonio Vivaldi),1zMuOy2UkliKAVZMtGB2ac,0.258,0.268,7,-17.643,0,0.0415,0.725,0.00225,0.107,0.179,95.512
50,classical,50,/content/classical/50.mp3,Bezdin Ensemble,Si Fossi Foco,If I were fire,2Qvv9ZPVsvglmOdg9E0xDd,0.54,0.647,2,-9.006,1,0.0677,0.691,0.749,0.14,0.152,98.471
51,classical,51,/content/classical/51.mp3,Jacob Heringman,Josquin des Prez Lute Settings,Anon : Praeter rerum seriem,5B02PJiyIStKXSbFHcbM3V,0.382,0.028,7,-27.892,0,0.0541,0.994,0.934,0.131,0.396,76.461
52,classical,52,/content/classical/52.mp3,Bezdin Ensemble,Boccherini Fandango Box,La Ritirata Di Madrid (Luigi Boccherini),3fecSKGPdidrgxxnXK90MK,0.391,0.188,2,-15.218,1,0.0452,0.924,0.672,0.11,0.134,109.174
53,classical,53,/content/classical/53.mp3,Bezdin Ensemble,Si Fossi Foco,If I were pope,7o1TVJEGSS00SySGDPuE52,0.398,0.518,1,-9.611,0,0.035,0.806,4.93E-06,0.247,0.287,120.715
54,classical,54,/content/classical/54.mp3,Musica Franca,Corrette - Le Phenix - Les Delices de la Solitude,Phenix - Allegro,0ru7ppZyya7NVqnpNFBF3u,0.312,0.144,2,-24.732,1,0.0366,0.995,0.868,0.112,0.656,167.665
55,classical,55,/content/classical/55.mp3,Altri Stromenti,Italian Music of the 17th Century,Avanti Il Quarto Brando (Giovanni Battista Buonamente),5zCFefmkIAQS0mrTGv1TFE,0.315,0.0796,0,-19.112,1,0.0367,0.91,0.00371,0.131,0.312,128.166
56,classical,56,/content/classical/56.mp3,Musica Franca,Corrette - Le Phenix - Les Delices de la Solitude,Les Delices de la Solitude Op. 20 - Sonata I in F major - Aria,1lcVtQke76cGIzgTnzFdpl,0.233,0.0504,5,-24.5,1,0.0367,0.954,0.0172,0.0845,0.229,134.459
57,classical,57,/content/classical/57.mp3,Bezdin Ensemble,Vivaldi Sacred Box,Magnificat (Antonio Vivaldi),4BrqvRI17dsHRmj6IpV1GM,0.286,0.149,6,-19.988,0,0.0434,0.969,0.00339,0.11,0.0717,125.15
58,classical,58,/content/classical/58.mp3,Bezdin Ensemble,Si Fossi Foco,If I were emperor,3ecSXt5Y3LOLCToRB4i63p,0.297,0.207,3,-10.702,0,0.0393,0.884,0.529,0.206,0.26,86.014
59,classical,59,/content/classical/59.mp3,Bezdin Ensemble,Boccherini Fandango Box,Sinfonia In Re Minore (Luigi Boccherini),4pqh9rZuRVVHruSetDHLE3,0.307,0.184,5,-17.597,1,0.0368,0.983,0.625,0.107,0.0707,113.182
60,classical,60,/content/classical/60.mp3,Ivan Ilic,Fugitive Visions - Piano Masterworks by Chopin and Liszt,Chopin Prelude In B Minor Opus 28,27dNq6LLwOrP91v2i2FO0D,0.383,0.0134,9,-31.778,0,0.0557,0.996,0.799,0.0708,0.0386,126.427
61,classical,61,/content/classical/61.mp3,Musica Franca,Corrette - Le Phenix - Les Delices de la Solitude,Sonata II in D minor - Allegro,2iHH1qVZPw1J1Lf1mifRSt,0.452,0.229,5,-21.557,1,0.0296,0.991,0.955,0.0785,0.828,94.998
62,classical,62,/content/classical/62.mp3,Janine Johnson,Chopin Recital,Waltz KK IVa no.12 in E major,1f3MVDwSNuqBtMxloyLvvD,0.495,0.106,4,-23.852,1,0.0476,0.993,0.921,0.126,0.675,119.998
63,classical,63,/content/classical/63.mp3,Ivan Ilic,Romantic - Powerful Miniatures by Schumann and Brahms,Intermezzo in E Major Opus 116 No.6 (Johannes Brahms),1Sa03TevW8uKcVieD3LHJ0,0.356,0.0271,4,-27.716,1,0.0496,0.995,0.899,0.0901,0.0665,76.451
64,classical,64,/content/classical/64.mp3,Musica Franca,Corrette - Le Phenix - Les Delices de la Solitude,Sonata III in C major - Fuga da capella,5tY3Nzjutp05g2OleVbthn,0.492,0.271,0,-26.848,1,0.0355,0.996,0.95,0.095,0.907,130.917
65,classical,65,/content/classical/65.mp3,Janine Johnson,Telemann Harpsichord Solos from Der Getreue Music Meister,Trouble fete (Gorner),3NpNbK1v8O6uU0dQMJgkuz,0.308,0.46,11,-10.307,1,0.0347,0.576,0.0123,0.159,0.896,91.941
66,classical,66,/content/classical/66.mp3,Ivan Ilic,Fugitive Visions - Piano Masterworks by Chopin and Liszt,Chopin Prelude In C Sharp Minor Opus 28,7KJio7FwXuLrqvmmG1y4Rj,0.445,0.0606,6,-29.517,0,0.0413,0.994,0.785,0.0946,0.707,141.515
67,classical,67,/content/classical/67.mp3,Altri Stromenti,Italian Music of the 17th Century,Gagliard Seconda (Giovanni Battista Buonamente),376Ex3IlFOpcXelKREEFH7,0.354,0.198,0,-15.702,1,0.0388,0.942,2.29E-05,0.185,0.52,129.764
68,classical,68,/content/classical/68.mp3,John Fleagle,Worlds Bliss - Medieval Songs of Love and Death,Alysoun,6ozOXbh1k3XBIHL9kzCAxf,0.288,0.0173,7,-25.41,1,0.0417,0.986,0.0189,0.0785,0.152,100.544
69,classical,69,/content/classical/69.mp3,JungHae Kim,The Virginalists,More Palatino (Jan Pieterszoon Sweelinck),0vHQEJFE8EEfGtwuaQsCE8,0.264,0.536,4,-12.348,1,0.0305,0.948,0.9,0.0705,0.654,107.704
70,classical,70,/content/classical/70.mp3,Katherine Roberts Perl,JS Bach French Suites,Suite No 4 in E flat major BWV 815: Allemande,7p8SPhxmUJbWZQ37WJBl15,0.149,0.316,1,-19.129,1,0.0363,0.948,0.741,0.0768,0.772,181.806
71,classical,71,/content/classical/71.mp3,La Primavera,English Renaissance Music,Oxenford (Anon),1eiI9Vgpr7reo0tRULPRpV,0.803,0.222,7,-11.533,1,0.0431,0.655,0.00394,0.07,0.414,117.058
72,classical,72,/content/classical/72.mp3,Lara St John,Bach Violin Concertos,BWV 1041 : I. Allegro,1ubTqi3QUWWTR82ltF8ZG0,0.574,0.301,9,-14.983,0,0.0388,0.9,0.0183,0.0786,0.583,103.359
73,classical,73,/content/classical/73.mp3,Ivan Ilic,Fugitive Visions - Piano Masterworks by Chopin and Liszt,Chopin Prelude In C Major Opus 28,1WcJcEqsyUEeCKhVfj7ZCX,0.469,0.0134,4,-26.023,1,0.0502,0.995,0.916,0.102,0.0357,122.441
74,classical,74,/content/classical/74.mp3,Lara St John,Bach Violin Concertos,BWV 1001 / IV. Presto,1E9BEYNXGE25B4HRNbe38a,0.468,0.178,7,-20.824,0,0.0554,0.993,0.927,0.164,0.959,127.872
75,classical,75,/content/classical/75.mp3,Ivan Ilic,Romantic - Powerful Miniatures by Schumann and Brahms,Romance in B Major Opus 28 No.3 (Robert Schumann),2p07d16xdpMvjTfYJaMho9,0.352,0.0443,11,-25.665,1,0.0378,0.995,0.881,0.0931,0.247,142.352
76,classical,76,/content/classical/76.mp3,Maryse Carlin,Rameau - Pieces De Clavecin En Concerts - Forqueray Suites 4 and 5,Premier Concert - Coulicam (Rameau),1pjeeQKWoQxXewmBVpHtub,0.29,0.335,11,-22.631,0,0.0375,0.952,0.342,0.0426,0.746,99.562
77,classical,77,/content/classical/77.mp3,Ivan Ilic,Fugitive Visions - Piano Masterworks by Chopin and Liszt,Chopin Prelude In A Flat Major Opus 28,78LNt4v31eS7gqs3S4O8WZ,0.354,0.085,8,-29.974,1,0.0428,0.995,0.88,0.106,0.0831,113.898
78,classical,78,/content/classical/78.mp3,Music of the Spheres,Music of the Spheres,Matteis: Ground After the Scotch Humour,70LgM1ANLX30VmZDRYCmFD,0.412,0.296,4,-14.806,1,0.0399,0.72,0,0.121,0.667,69.722
